ID,age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,health,absences,gender
1,17,4,3,1,2,0,4,3,5,3,9,F
2,15,7,6,1,2,0,5,3,3,2,1,F
3,17,4,3,0,2,0,2,3,3,3,1,F
4,18,5,2,1,1,0,4,5,3,5,2,M
5,16,3,2,1,2,0,5,4,4,4,0,M
6,19,2,2,1,2,0,4,4,5,4,5,F
7,16,4,4,2,2,0,5,4,3,5,6,M
8,17,4,3,1,2,0,3,3,4,2,4,M
9,16,3,1,0,1,0,4,5,3,4,14,M
10,15,7,5,0,1,0,5,3,2,2,0,M
11,18,1,2,1,2,0,4,4,3,2,9,M
12,15,5,5,1,2,0,5,4,1,3,0,M
13,16,3,3,3,3,0,4,3,1,5,9,M
14,19,0,0,2,2,0,3,4,3,3,6,M
15,16,4,4,1,2,0,5,3,2,2,10,M
16,15,5,4,0,3,0,4,3,1,3,9,F
17,16,3,3,2,4,0,5,2,4,4,12,F
18,16,2,3,2,3,0,4,2,4,2,3,F
19,16,3,2,2,4,0,3,2,4,3,1,F
20,16,2,2,1,2,0,5,3,3,3,1,F
21,15,3,4,2,2,0,4,3,4,1,6,F
22,15,4,3,2,4,0,5,3,3,4,9,F
23,16,4,3,0,2,0,5,3,4,3,1,F
24,17,2,2,0,3,0,2,4,2,1,1,F
25,18,5,2,0,3,0,3,4,6,5,0,F
26,17,3,2,2,2,0,5,4,4,5,10,M
27,16,5,4,0,2,0,5,3,3,3,4,F
28,17,4,3,3,3,0,4,3,0,2,2,F
29,16,3,3,2,3,0,4,3,2,4,8,F
30,16,3,2,1,3,0,3,3,1,2,1,F
31,17,2,2,1,3,0,3,3,5,5,17,F
32,15,4,3,1,4,0,4,2,3,4,11,F
33,18,4,2,1,2,0,4,3,5,6,3,F
34,17,6,3,0,2,0,5,4,3,4,5,F
35,17,4,1,0,1,0,4,4,3,5,0,M
36,16,3,3,2,1,0,5,4,3,5,5,M
37,18,3,2,0,2,0,3,4,4,2,8,F
38,16,2,2,2,3,0,4,4,2,2,0,F
39,16,4,3,2,3,0,4,3,4,4,3,F
40,16,6,4,1,1,0,4,3,3,5,2,F
41,15,3,3,2,2,0,5,3,3,4,0,F
42,15,2,3,2,2,0,4,3,2,4,0,M
43,15,5,5,2,2,0,5,3,3,4,1,M
44,15,5,4,1,3,0,5,2,4,5,0,F
45,17,4,4,0,1,0,4,4,2,5,6,M
46,18,4,2,0,1,0,2,4,3,2,2,F
47,16,6,4,1,1,0,5,4,4,6,0,M
48,15,5,4,0,2,0,5,3,1,4,0,F
49,16,3,4,1,3,0,4,2,3,2,2,F
50,16,2,2,3,3,0,5,3,3,4,8,M
51,16,5,4,1,2,0,4,2,4,3,3,F
52,15,5,4,1,2,0,5,3,3,5,0,M
53,16,5,5,1,3,0,4,3,4,2,9,F
54,15,6,5,0,1,0,4,3,2,1,1,F
55,16,4,4,0,1,0,4,4,2,4,1,M
56,16,7,6,1,2,0,4,4,4,3,1,M
57,16,3,3,0,2,0,4,2,3,4,10,F
58,17,3,1,1,2,0,4,3,4,6,16,F
59,17,2,2,2,3,0,5,3,5,5,20,M
60,18,1,1,2,3,0,2,3,3,1,7,F
61,15,5,5,0,2,0,4,2,2,1,1,F
62,16,5,4,2,2,0,5,3,4,5,7,M
63,17,4,2,1,2,0,4,5,4,6,0,M
64,16,6,5,0,1,0,4,4,3,4,0,F
65,15,3,4,2,1,0,5,3,2,3,1,M
66,16,5,3,1,2,0,5,3,2,4,8,F
67,17,4,3,2,2,0,5,3,5,5,20,M
68,17,4,3,1,2,0,5,4,5,6,9,M
69,18,5,3,2,2,0,5,3,4,6,8,M
70,18,2,2,0,1,0,2,3,2,2,9,M
71,17,2,3,1,3,0,3,3,2,0,4,F
72,16,5,3,2,2,0,5,4,3,5,0,M
73,18,1,1,1,2,0,5,4,4,3,2,M
74,16,4,4,2,1,0,6,3,2,4,1,M
75,15,5,4,1,3,0,5,3,3,4,3,F
76,15,3,3,1,3,0,3,2,2,2,3,F
77,18,2,1,3,3,0,5,4,4,5,2,M
78,17,1,2,2,4,0,4,2,3,2,8,F
79,17,4,2,2,1,0,5,5,3,3,2,M
80,16,1,2,1,1,0,4,4,2,3,3,M
81,17,2,2,1,2,0,4,4,5,3,9,M
82,16,4,4,2,2,0,5,4,2,4,5,M
83,17,2,2,1,2,0,3,3,4,2,2,F
84,17,3,3,1,3,0,4,3,4,3,2,F
85,17,4,3,1,2,0,4,4,5,5,2,M
86,14,3,4,1,3,0,5,3,2,2,0,F
87,18,1,2,1,2,0,4,3,3,3,12,F
88,16,3,3,2,2,0,3,3,3,3,3,M
89,16,3,3,1,3,0,4,2,4,4,10,F
90,15,7,6,1,2,0,4,3,3,3,2,F
91,18,3,2,1,3,0,3,3,4,3,1,F
92,17,4,2,0,1,0,4,4,3,4,4,M
93,15,4,4,1,3,0,5,3,2,3,0,F
94,16,3,2,1,3,0,5,4,2,4,0,F
95,15,2,3,2,3,0,5,3,4,3,1,F
96,15,5,5,0,1,0,4,3,2,2,0,F
97,18,3,3,3,2,0,5,4,3,4,3,M
98,16,4,3,2,3,0,4,3,4,5,0,M
99,15,2,3,0,2,0,3,2,2,1,2,F
100,17,3,2,1,2,0,4,3,4,4,3,F
101,17,1,1,2,4,0,4,2,3,4,22,F
102,17,3,2,1,2,0,3,2,3,3,16,F
103,16,2,2,2,2,0,4,3,4,3,2,M
104,16,6,4,2,3,0,4,3,3,3,6,F
105,15,4,5,2,1,0,5,2,2,4,1,M
106,18,1,1,2,2,0,4,5,4,4,4,M
107,15,3,3,1,3,0,4,3,2,3,2,F
108,18,4,2,0,3,0,3,4,4,4,1,F
109,15,4,3,1,2,0,5,3,2,3,0,M
110,17,3,2,2,3,0,4,3,5,5,17,M
111,14,3,4,3,3,0,5,2,4,3,3,F
112,17,4,3,0,3,0,4,3,4,4,11,F
113,16,4,3,1,3,0,4,3,3,4,2,F
114,17,3,3,0,3,0,3,3,4,3,5,F
115,15,3,2,1,3,0,4,3,3,3,0,F
116,17,3,2,1,2,0,5,4,4,5,18,M
117,16,4,3,1,2,0,5,3,4,5,1,M
118,17,3,3,1,3,0,4,3,3,3,3,F
119,15,5,4,1,3,0,4,3,3,4,0,F
120,16,4,3,1,1,0,4,4,4,5,0,M
121,18,4,2,0,2,0,2,4,1,1,11,M
122,16,5,4,1,1,0,4,4,1,2,2,F
123,17,7,5,0,1,0,4,5,3,2,2,M
124,16,3,2,1,3,0,3,3,4,3,1,F
125,15,4,3,1,3,0,5,3,4,4,1,F
126,15,5,5,1,2,0,5,3,2,3,0,M
127,17,2,2,0,2,0,3,4,1,2,1,F
128,15,6,5,1,1,0,4,3,2,3,2,F
129,17,3,3,2,2,0,4,3,2,2,2,F
130,16,2,3,2,3,0,5,4,4,3,1,M
131,17,2,2,2,2,0,5,3,5,4,2,M
132,15,3,4,0,1,0,4,3,1,0,1,F
133,16,3,3,2,1,0,5,3,0,5,4,M
134,15,4,2,1,1,0,4,4,4,3,0,M
135,17,4,3,1,2,0,5,4,5,4,17,M
136,15,5,4,0,2,0,4,2,3,2,0,F
137,17,3,3,2,2,0,5,4,4,3,3,F
138,16,4,3,2,3,0,4,2,3,4,9,F
139,18,0,1,1,2,0,2,4,2,1,3,M
140,17,1,1,2,2,0,4,4,2,3,11,M
141,17,2,1,1,2,0,3,4,4,5,9,M
142,16,3,4,2,1,0,3,2,2,1,5,F
143,15,4,3,1,3,0,4,3,4,4,4,F
144,17,4,2,2,1,0,4,4,4,5,3,M
145,17,4,2,2,2,0,4,3,4,5,8,M
146,17,4,3,1,1,0,5,4,3,3,2,M
147,16,4,4,0,1,0,4,3,3,4,3,F
148,17,2,3,1,2,0,4,4,5,5,5,M
149,16,3,3,2,3,0,5,3,5,5,2,M
150,17,4,3,0,2,0,3,4,4,4,0,F
151,16,5,3,1,1,0,4,4,3,6,1,M
152,17,6,3,1,2,0,3,4,3,3,1,F
153,16,1,1,0,2,0,2,3,1,1,0,F
154,16,3,3,2,3,0,4,2,5,3,3,F
155,18,2,2,1,4,0,4,3,3,1,3,F
156,17,5,4,1,1,0,4,4,3,4,8,M
157,15,4,5,2,3,0,4,3,2,2,2,F
158,16,3,3,1,2,0,5,3,3,4,5,F
159,16,5,3,0,2,0,4,2,4,4,9,F
160,16,4,4,1,2,0,4,3,2,3,3,M
161,18,1,2,1,1,0,4,4,3,2,3,M
162,17,6,5,2,2,0,5,3,3,3,3,F
163,16,4,3,1,3,0,4,2,4,3,2,F
164,18,4,1,0,2,0,4,4,5,5,17,F
165,16,2,2,2,3,0,5,2,4,4,19,M
166,17,5,4,1,1,0,5,4,2,4,6,M
167,17,2,2,0,2,0,4,3,3,3,1,F
168,16,3,3,2,2,0,4,3,0,3,0,F
169,14,5,4,1,3,0,4,2,3,3,0,F
170,16,2,1,2,2,0,5,3,4,6,12,M
171,17,4,2,1,2,0,5,4,4,6,16,M
172,16,3,2,0,2,0,3,3,2,3,0,F
173,16,4,3,1,1,0,5,5,4,1,2,M
174,18,2,2,0,1,0,3,3,3,2,11,F
175,16,2,2,2,2,0,5,3,3,4,18,M
176,15,2,3,2,2,0,4,2,3,2,3,F
177,15,5,5,0,2,0,4,3,3,1,0,F
178,16,1,1,1,3,0,4,2,3,3,9,F
179,15,5,4,0,3,0,5,3,3,3,9,F
180,17,0,0,2,2,0,5,4,1,5,18,M
181,18,1,1,1,3,0,3,4,4,2,5,F
182,18,0,1,3,2,0,5,4,3,5,6,M
183,15,2,4,3,3,0,5,2,2,2,2,F
184,17,2,2,1,2,0,4,3,3,5,2,F
185,16,5,5,2,1,2,4,3,3,2,4,F
186,17,5,3,0,2,0,5,3,3,4,4,F
187,17,3,3,1,3,0,5,3,3,4,7,F
188,14,6,6,0,2,0,5,3,4,3,0,M
189,16,3,3,1,4,0,3,2,3,1,2,F
190,17,4,3,2,2,0,4,4,3,3,1,M
191,16,5,3,1,2,0,5,3,3,5,13,M
192,17,4,3,0,1,0,3,4,2,3,1,F
193,17,5,4,1,2,0,5,4,1,3,1,F
194,17,3,2,1,1,0,4,4,4,5,3,M
195,17,4,2,0,2,0,4,3,4,5,15,F
196,15,6,6,0,1,0,5,3,2,3,1,M
197,16,4,4,1,3,0,4,3,2,3,3,F
198,14,2,4,2,4,0,4,1,3,2,3,F
199,17,6,3,1,1,0,4,4,3,5,1,F
200,17,1,3,2,1,0,4,4,2,3,5,F
201,17,5,4,2,2,0,4,3,3,4,1,F
202,16,4,3,1,3,0,5,3,3,5,17,F
203,18,2,2,1,1,0,4,4,3,3,17,M
204,18,2,2,0,2,0,3,4,3,1,6,F
205,16,3,2,2,2,0,5,3,4,5,1,M
206,16,2,2,0,1,0,5,4,3,3,2,M
207,15,6,5,1,2,0,4,3,2,2,1,F
208,16,5,4,0,2,0,4,3,3,3,0,F
209,16,6,4,0,1,0,5,4,2,4,1,M
210,16,3,3,2,2,0,5,3,4,3,4,F
211,16,5,4,2,2,0,4,3,2,4,0,M
212,17,4,4,3,2,2,4,3,2,2,12,F
213,16,5,5,1,1,0,4,3,3,3,2,M
214,16,2,3,2,3,0,4,3,4,3,1,F
215,17,2,2,1,3,0,3,2,4,3,9,F
216,16,2,2,1,2,0,3,3,2,2,1,F
217,15,1,2,2,2,0,5,4,2,4,1,M
218,17,6,3,1,2,0,5,4,4,5,0,M
219,16,3,2,2,2,0,5,4,4,5,1,M
220,17,2,2,2,2,0,4,4,2,4,0,M
221,17,4,2,0,4,0,3,3,2,2,14,F
222,16,5,4,1,3,0,5,3,3,4,3,F
223,16,5,2,1,1,0,5,4,4,6,10,M
224,15,5,4,2,3,0,5,3,3,5,3,M
225,16,4,4,2,1,0,4,3,2,4,7,M
226,16,3,4,2,3,0,5,3,3,4,3,F
227,14,6,5,1,3,0,5,2,2,2,1,F
228,15,1,3,1,2,0,4,3,1,2,1,F
229,16,1,2,3,4,0,6,3,2,5,22,M
230,16,5,4,1,2,0,5,4,4,3,3,M
231,15,2,2,2,3,0,4,2,4,4,6,F
232,16,5,3,1,2,0,5,4,3,5,3,M
233,16,5,4,1,1,0,5,4,3,3,1,M
234,17,3,2,3,2,0,5,3,4,5,2,M
235,17,2,3,2,2,0,5,3,3,4,3,F
236,16,4,3,2,2,0,4,3,2,3,2,M
237,17,5,3,1,2,0,5,4,5,7,10,M
238,17,0,2,2,3,0,5,3,4,1,4,F
239,16,4,3,0,2,0,4,3,3,4,0,M
240,17,4,2,1,1,0,5,4,5,4,5,M
241,16,6,4,0,3,0,3,2,3,2,3,F
242,15,6,4,1,1,0,5,3,3,4,2,M
243,16,7,5,1,1,0,4,4,4,3,2,M
244,16,1,1,2,3,0,4,2,4,3,4,F
245,17,6,4,1,3,0,4,3,4,4,2,F
246,15,5,3,1,2,0,4,3,4,5,0,M
247,16,4,4,2,2,0,5,3,3,5,1,M
248,17,6,5,1,1,0,4,4,3,3,9,M
249,15,4,3,0,3,0,4,3,2,2,0,F
250,15,3,3,1,2,0,4,2,2,3,1,F
251,16,2,2,2,2,0,5,2,4,4,15,M
252,18,3,2,1,1,0,4,4,3,3,9,M
253,17,6,4,0,1,0,5,4,4,4,4,M
254,16,1,2,2,2,0,4,4,1,3,10,M
255,17,3,3,0,2,0,5,4,3,4,1,M
256,18,0,1,1,1,1,3,4,2,2,4,M
257,17,3,1,0,3,0,3,3,3,4,1,F
258,16,3,2,2,2,0,4,3,2,4,2,F
259,17,2,2,1,2,0,3,3,3,2,2,F
260,18,3,3,1,1,1,4,4,3,4,11,M
261,15,3,3,1,2,0,5,2,4,5,3,M
262,17,3,3,1,2,0,3,3,4,4,1,F
263,15,1,2,2,3,0,5,3,3,5,23,M
264,15,7,6,1,1,0,4,4,4,2,2,M
265,18,0,1,2,2,0,4,3,1,4,15,M
266,17,5,3,0,2,0,4,4,3,3,0,F
267,17,1,3,2,2,0,5,4,5,3,12,M
268,17,3,3,1,3,0,5,3,5,6,6,M
269,16,4,3,0,2,0,4,4,4,5,1,F
270,16,2,3,2,3,0,5,3,5,2,5,F
271,16,6,5,1,2,0,4,4,2,2,4,M
272,17,4,3,1,1,0,4,4,3,4,3,M
273,17,2,2,1,3,0,3,3,4,2,10,F
274,15,6,5,0,1,0,5,4,2,3,0,F
275,15,3,3,2,1,0,5,4,3,4,0,M
276,17,5,3,0,2,0,3,4,2,2,3,M
277,17,3,2,2,3,0,5,3,5,7,20,M
278,18,1,1,2,1,0,5,5,3,4,9,M
279,17,4,2,0,2,0,4,3,4,4,1,F
280,16,3,4,1,1,0,5,4,2,3,3,M
281,17,3,2,2,2,0,4,3,3,3,2,M
282,16,4,3,2,3,0,4,3,4,4,1,M
283,16,4,4,2,3,0,5,2,5,5,2,F
284,16,2,2,2,2,0,4,4,4,2,6,M
285,15,4,4,1,3,0,5,3,4,3,14,M
286,17,5,2,0,1,0,4,4,4,5,0,M
287,17,2,2,1,3,0,5,3,4,5,17,F
288,15,4,3,0,1,0,4,3,0,3,1,F
289,17,3,2,2,1,0,5,4,4,6,0,M
290,14,5,5,1,2,0,5,3,3,3,0,M
291,17,2,2,2,2,0,3,3,3,2,12,F
292,17,2,2,1,4,0,4,2,5,5,16,F
293,16,5,3,1,3,0,4,4,2,3,0,F
294,18,4,2,3,3,0,5,4,4,4,17,M
295,14,5,4,1,3,0,4,2,3,3,0,F
296,15,4,3,2,3,0,4,3,3,4,13,M
297,15,5,3,0,2,0,4,2,3,3,0,F
298,15,4,4,2,3,0,4,3,3,4,20,F
299,15,5,4,2,3,0,5,3,4,4,0,F
300,18,3,1,1,1,0,5,5,5,5,2,M
301,18,2,2,2,2,0,4,4,4,3,3,M
302,16,5,4,1,2,0,4,3,4,4,1,F
303,16,3,3,2,3,0,5,2,3,4,14,F
304,16,6,5,1,1,0,5,4,2,3,5,M
305,15,1,2,2,2,0,3,2,0,2,1,F
306,16,5,4,0,2,0,4,3,3,3,1,F
307,17,3,3,1,1,0,4,3,1,5,13,M
308,16,2,1,1,3,0,4,2,3,4,7,F
309,15,4,4,1,2,0,5,3,2,2,2,M
310,16,1,1,1,2,0,4,4,2,4,1,M
311,16,4,3,0,3,0,4,3,4,3,4,F
312,16,3,3,3,3,0,5,3,2,3,8,M
313,15,5,4,2,2,0,5,3,2,5,2,M
314,19,0,1,1,3,0,3,3,3,2,11,F
315,16,5,3,1,2,0,4,4,4,5,10,M
316,15,7,6,2,1,0,5,3,3,5,2,M
317,17,3,3,1,1,0,4,2,3,3,5,F
318,17,3,2,0,3,0,3,3,3,2,0,F
319,15,2,3,1,3,0,4,2,3,3,14,M
320,15,4,5,1,3,0,3,1,3,2,4,F
321,16,3,2,2,2,0,4,4,2,5,0,M
322,18,3,3,2,2,0,5,4,4,4,9,M
323,18,1,2,1,2,0,4,4,4,5,15,M
324,16,3,3,1,2,0,4,2,4,3,16,F
325,18,5,2,1,2,0,5,4,5,6,7,M
326,18,5,3,0,2,0,3,4,5,3,3,F
327,16,5,3,0,3,0,3,2,3,3,1,F
328,14,6,5,0,2,0,4,3,1,2,1,F
329,16,2,2,3,3,0,5,3,4,4,2,M
330,16,5,4,0,1,0,2,3,2,1,3,F
331,15,4,3,0,2,0,5,3,2,4,0,F
332,16,2,3,2,2,0,4,3,4,4,3,M
333,18,1,2,1,2,0,3,4,3,1,5,M
334,16,5,5,0,2,0,4,3,4,3,2,M
335,16,5,4,1,2,0,5,3,3,5,1,M
336,16,5,4,1,2,0,4,3,2,4,1,F
337,17,5,3,0,3,0,4,3,3,3,8,F
338,15,5,5,1,3,0,4,2,4,1,2,F
339,17,4,3,1,1,0,4,3,3,1,4,F
340,16,6,5,0,2,0,4,4,3,1,0,F
341,16,4,3,1,1,0,4,3,4,4,9,F
342,17,1,1,2,2,0,4,4,4,5,3,M
343,17,3,3,1,2,0,4,3,4,4,2,M
344,15,3,4,1,3,0,4,4,1,3,1,F
345,16,3,3,0,2,0,4,4,0,2,0,F
346,17,3,2,1,3,0,3,3,6,4,10,F
347,14,5,4,1,2,0,4,2,3,2,0,F
348,17,4,2,0,1,0,5,4,4,6,0,M
349,16,5,3,1,1,0,4,4,4,4,0,F
350,17,5,3,1,2,0,3,4,3,3,11,M
351,17,3,3,0,3,0,3,4,2,1,1,F
352,15,3,3,1,2,0,5,4,2,2,1,M
353,16,3,3,2,3,0,4,2,4,4,1,F
354,17,4,2,1,2,0,5,4,4,7,22,M
355,16,3,3,1,2,0,4,4,2,2,2,M
356,16,5,3,0,1,0,3,4,2,2,0,M
357,15,3,3,1,3,0,2,2,2,1,1,F
358,17,4,3,0,4,0,3,3,4,3,1,F
359,17,3,2,1,1,0,4,4,4,4,2,M
360,17,4,3,0,3,0,3,3,2,1,3,F
361,15,5,3,1,3,0,4,2,4,5,10,F
362,17,4,2,1,1,0,4,5,5,2,2,M
363,18,5,3,1,2,0,3,2,4,3,13,F
364,15,3,4,2,2,0,5,2,3,4,7,M
365,15,4,4,1,4,0,4,2,4,4,1,F
366,17,4,3,2,3,0,5,4,4,5,14,M
367,17,5,4,1,2,0,3,3,4,3,7,F
368,17,3,3,1,3,0,4,3,5,3,4,F
369,14,4,5,1,2,0,4,2,3,4,4,F
370,14,3,3,1,4,0,5,2,4,5,21,F
371,16,3,4,1,2,0,4,4,3,2,3,F
372,17,5,4,2,1,0,5,3,3,4,3,M
373,16,2,3,2,3,0,3,3,3,2,2,M
374,17,4,2,1,3,0,5,4,3,5,0,F
375,16,5,3,2,2,0,5,4,2,5,3,M
376,15,0,3,3,2,0,4,3,2,1,5,F
377,17,5,4,1,2,0,5,4,1,4,5,M
378,16,3,3,0,2,0,4,3,2,3,0,F
379,14,5,4,1,2,0,5,3,2,4,0,M
380,17,5,4,1,2,0,4,4,4,2,9,M
381,17,2,3,0,1,0,4,3,2,2,7,F
382,16,1,2,1,4,0,3,2,2,1,4,F
383,17,2,3,3,1,4,3,2,2,4,19,F
384,16,6,3,1,1,0,3,4,2,3,1,M
385,18,3,2,1,2,0,3,3,5,4,2,M
386,17,4,3,0,3,0,4,2,5,4,10,F
387,18,0,1,3,3,0,4,3,3,2,26,F
388,18,2,1,2,3,0,4,4,5,5,18,M
389,17,3,3,1,1,0,4,3,2,4,14,F
390,17,2,1,2,2,0,5,3,3,4,5,M
391,16,3,3,1,2,0,4,4,2,2,1,M
392,16,4,4,1,1,0,5,3,2,4,5,F
393,16,7,5,1,1,0,5,4,3,3,1,M
394,17,4,3,1,2,0,5,4,4,6,14,M
395,17,3,3,3,3,0,4,2,4,3,7,F
396,16,2,3,3,3,0,5,3,5,3,2,M
397,17,3,2,1,3,0,4,3,2,3,2,F
398,17,3,3,2,4,0,3,2,4,3,4,F
399,16,5,3,1,3,0,5,3,4,5,14,F
400,16,4,4,0,1,0,3,4,2,2,0,F
401,15,2,3,1,3,0,3,2,3,2,0,F
402,16,1,3,2,2,0,4,3,3,1,4,F
403,16,4,2,2,2,0,5,4,4,5,0,M
404,16,3,2,1,2,0,5,4,3,4,1,M
405,18,6,3,0,0,0,5,5,4,4,1,M
406,16,4,4,1,2,0,4,3,3,2,3,M
407,17,3,3,0,0,0,5,5,1,4,6,M
408,17,4,3,1,4,0,4,3,4,3,10,F
409,17,5,3,1,1,0,3,4,3,4,1,M
410,17,2,2,2,2,0,5,4,2,5,19,M
411,16,4,3,0,2,0,4,3,2,2,2,F
412,17,4,2,2,3,0,4,3,3,3,1,F
413,16,4,3,2,3,0,3,2,3,2,1,F
414,15,4,3,2,4,0,5,3,4,4,3,F
415,16,1,3,2,3,0,4,3,4,1,3,M
416,15,5,4,2,2,0,5,3,4,3,7,M
417,19,3,1,0,2,0,2,4,1,1,11,F
418,16,6,4,0,2,0,5,3,3,4,10,F
419,16,4,4,1,3,0,4,3,4,2,2,F
420,15,6,4,0,2,0,4,3,2,2,0,F
421,15,5,5,2,2,0,5,3,4,3,1,M
422,17,4,4,1,1,0,4,3,4,4,5,M
423,17,6,4,1,1,0,4,4,2,3,1,M
424,16,6,4,1,2,0,5,3,4,5,2,M
425,16,6,4,0,2,0,4,3,4,3,0,F
426,17,2,1,2,2,0,5,4,5,3,3,M
427,18,0,1,2,2,0,4,4,3,3,14,M
428,17,2,2,3,2,0,6,4,3,6,6,M
429,16,3,2,2,3,0,5,4,5,6,0,M
430,16,5,3,1,1,0,4,4,4,4,2,M
431,16,3,2,1,2,0,4,4,2,2,2,M
432,17,2,2,0,1,0,4,4,2,3,0,M
433,15,2,2,2,2,0,5,4,2,2,1,M
434,16,6,4,1,2,0,5,3,1,3,3,F
435,16,5,3,1,3,0,4,3,4,5,0,F
436,15,4,4,1,2,0,5,4,3,4,1,M
437,17,4,3,0,2,0,5,4,2,3,0,M
438,14,6,5,0,2,0,4,3,3,4,0,F
439,19,4,2,1,1,0,3,4,4,4,18,M
440,17,3,2,1,2,0,4,5,3,4,3,M
441,16,1,3,3,3,0,5,2,4,3,8,M
442,16,6,3,0,2,0,3,3,3,4,0,F
443,15,4,3,0,2,0,4,3,3,4,0,F
444,17,0,2,3,1,2,4,4,2,2,5,M
445,16,6,4,1,2,0,5,4,3,5,0,M
446,14,3,3,2,3,0,5,3,4,4,0,M
447,16,5,3,1,3,0,5,3,3,3,0,F
448,17,1,1,3,2,0,5,5,4,4,9,M
449,17,1,1,1,2,0,5,4,5,5,27,M
450,16,4,2,1,1,0,4,4,3,6,2,M
451,15,3,3,1,3,0,5,3,5,4,12,M
452,19,1,1,2,2,0,4,5,4,3,12,M
453,15,4,4,2,2,0,4,2,3,3,3,F
454,16,3,3,1,2,0,3,2,5,2,5,F
455,15,6,5,2,2,0,5,3,3,4,4,M
456,16,4,4,0,1,0,5,4,3,3,4,M
457,18,1,2,2,3,0,4,3,4,4,11,F
458,15,6,4,1,3,0,4,3,2,2,0,F
459,19,3,1,0,0,0,4,5,2,4,3,M
460,17,5,4,0,1,0,3,4,3,1,2,F
461,18,3,2,1,1,0,4,5,4,3,1,M
462,16,5,4,1,2,0,5,4,2,3,2,F
463,18,3,1,1,1,0,5,4,3,5,4,M
464,16,6,5,0,2,0,4,4,3,3,5,M
465,18,2,1,1,2,0,5,4,5,6,18,M
466,17,3,2,1,2,0,4,3,4,4,3,F
467,17,6,3,1,1,0,5,4,4,6,1,M
468,16,1,3,2,2,0,4,2,3,3,4,F
469,16,1,2,2,2,0,5,3,2,2,1,M
470,18,6,2,0,1,0,4,5,4,6,0,M
471,18,2,0,0,1,0,2,5,4,4,1,M
472,19,4,2,0,1,0,2,4,5,4,8,M
473,17,1,1,3,2,0,4,5,5,3,2,M
474,16,4,3,2,4,0,5,3,4,6,18,M
475,16,4,3,1,2,0,4,4,4,4,2,M
476,17,6,3,1,1,0,4,5,4,3,2,M
477,17,2,3,2,2,1,5,3,3,4,15,M
478,16,4,3,0,2,0,5,3,3,3,2,F
479,16,4,3,1,3,0,5,3,4,5,0,F
480,18,4,2,1,3,0,5,3,5,5,17,F
481,14,5,4,1,2,0,5,3,3,2,0,F
482,17,1,2,3,4,0,5,2,5,4,14,F
483,15,3,4,1,2,0,4,3,3,2,1,M
484,18,4,3,1,1,0,3,4,5,3,2,M
485,15,4,4,1,2,0,4,2,3,4,0,F
486,17,2,3,3,4,0,4,2,3,3,10,F
487,15,5,4,1,3,0,5,3,3,3,3,F
488,16,4,3,1,2,0,5,3,3,4,8,F
489,17,5,4,1,1,0,4,4,2,3,1,M
490,17,1,1,2,1,0,4,4,2,3,2,M
491,14,6,4,1,2,0,5,3,2,4,0,F
492,16,1,1,2,3,0,4,4,1,2,9,M
493,17,2,3,1,2,0,1,3,2,0,5,F
494,16,0,2,3,3,0,5,2,2,4,12,F
495,15,5,3,2,4,0,5,2,3,4,0,F
496,15,6,4,1,1,0,5,4,4,4,1,M
497,18,5,3,2,1,0,5,5,2,4,11,M
498,16,4,4,1,2,0,5,3,4,4,1,F
499,17,2,2,1,2,0,4,3,0,1,10,F
500,17,1,2,2,2,0,4,3,4,4,16,M
